Distant;Comment1;Name_Type;Center_Marka;Proj1;Nomenklatura1;SK42_X;SK42_Y;Hn;G98;Proj2;SK42_B;SK42_L;G87;Proj3;Nomenklatura2;SK63_X;SK63_Y;SK63_X2;SK63_Y2;Proj4;SK95_X;SK95_Y;Hg;EGM;Proj5;SK95_L;SK95_B;Proj6;PZ90_X;PZ90_Y;PZ90_Z;Proj7;PZ9002_X;PZ9002_Y;PZ9002_Z;Proj8;WGS84_X;WGS84_Y;WGS84_Z;Proj9;WGS84_B;WGS84_L;Hw;Gwg
20358;P3628336 3;;Центр;СК-42;P-36-116-Г-а;6743083.44;6546737.57;Hn=  53.80 ;G98=  1.54;BL-42;60°47'42.2967";33°51'29.7740";G87=  2.46;CK-63/42;C-63- 41-Г-б;6731723.74;C4245004.73;6735229.08;C3408338.87;СК-95;6743085.17;6546738.02;Hg=  54.84;EGM=  1.04;BL-95;33°51'29.8053";60°47'42.3524";ПЗ-90.02;2591058.99;1738236.80;5544300.00;ПЗ-90.02;2591058.99;1738236.80;5544300.00;WGS-84;2591059.68;1738237.30;5544301.71;BL-WGS;60°47'42.6177";33°51'21.8330";Hw=  68.52;Gwg= 14.72
20418;P3628102 1;Гижино, сигн. 22.8 м;Центр 32;СК-42;P-36-116-Б-а;6763272.24;6541266.26;Hn= 148.3  ;G98=  1.46;BL-42;60°58'36.6658";33°45'43.6203";G87=  2.09;CK-63/42;C-63- 41-Б-а;6751989.21;C4239826.56;6755242.40;C3402237.43;СК-95;6763273.95;6541266.57;Hg= 149.49;EGM=  1.19;BL-95;33°45'43.6422";60°58'36.7209";ПЗ-90.02;2579299.80;1724077.31;5554237.58;ПЗ-90.02;2579299.80;1724077.31;5554237.58;WGS-84;2579300.48;1724077.80;5554239.30;BL-WGS;60°58'36.9903";33°45'35.6177";Hw= 163.30;Gwg= 14.99
21414;P3629209 2;Лыжозеро, сигн. 29.1 м;Центр 2оп Марка № 4389;СК-42;P-36-105-Г-г;6774059.01;6574731.25;Hn= 153.5  ;G98=  1.85;BL-42;61°04'07.3801";34°23'03.1301";G87=  2.14;CK-63/42;C-64- 42-Г-б;6762289.02;C4273443.12;6764926.17;C5111493.52;СК-95;6774060.92;6574731.78;Hg= 154.99;EGM=  1.49;BL-95;34°23'03.1682";61°04'07.4414";ПЗ-90.02;2553038.98;1746923.64;5559201.86;ПЗ-90.02;2553038.98;1746923.64;5559201.86;WGS-84;2553039.64;1746924.14;5559203.59;BL-WGS;61°04'07.7535";34°22'55.1592";Hw= 168.17;Gwg= 14.66
21775;P3629223 2;Пилат Гора, сигн. 38.9 м;Центр 37;СК-42;P-36-118-А-в;6753985.75;6582367.94;Hn= 145.0 г;G98=  2.01;BL-42;60°53'13.6175";34°31'01.1653";G87=  2.33;CK-63/42;C-63- 43-А-в;6742108.48;C4280787.47;6744426.20;C5117907.79;СК-95;6753987.59;6582368.44;Hg= 146.57;EGM=  1.57;BL-95;34°31'01.2012";60°53'13.6765";ПЗ-90.02;2563560.09;1762860.53;5549376.88;ПЗ-90.02;2563560.09;1762860.53;5549376.88;WGS-84;2563560.76;1762861.05;5549378.59;BL-WGS;60°53'13.9868";34°30'53.2472";Hw= 159.58;Gwg= 14.57
21866;P3629103 1;Ладвозеро, сигн. 29.4 (50.1) м;Центр 32;СК-42;P-36-117-Г-б;6741790.04;6575912.96;Hn= 196.6  ;G98=  2.16;BL-42;60°46'44.3524";34°23'36.1738";G87=  2.56;CK-63/42;C-63- 42-Г-б;6730008.33;C4274157.04;6732639.22;C5110729.63;СК-95;6741791.74;6575913.37;Hg= 198.29;EGM=  1.69;BL-95;34°23'36.2032";60°46'44.4071";ПЗ-90.02;2576060.38;1763283.27;5543549.84;ПЗ-90.02;2576060.38;1763283.27;5543549.84;WGS-84;2576061.05;1763283.79;5543551.55;BL-WGS;60°46'44.7039";34°23'28.2688";Hw= 211.41;Gwg= 14.81
22727;P3628318 3;;Центр;СК-42;P-36-104-Г-в;6774319.36;6545405.86;Hn= 132.50 ;G98=  1.65;BL-42;61°04'31.8918";33°50'28.2447";G87=  2.12;CK-63/42;C-64- 41-Г-б;6762974.87;C4244125.86;6766416.69;C3406030.20;СК-95;6774321.14;6545406.30;Hg= 133.86;EGM=  1.36;BL-95;33°50'28.2755";61°04'31.9491";ПЗ-90.02;2568921.97;1722273.68;5559550.32;ПЗ-90.02;2568921.97;1722273.68;5559550.32;WGS-84;2568922.64;1722274.16;5559552.04;BL-WGS;61°04'32.2287";33°50'20.2305";Hw= 147.60;Gwg= 15.09
23047;P3629206 2;Гришино, сигн. 31.7 м;Центр 37;СК-42;P-36-105-В-а;6780737.10;6560184.42;Hn= 140.8 г;G98=  1.79;BL-42;61°07'52.0542";34°07'00.9796";G87=  2.20;CK-63/42;C-64- 42-В-б;6769177.20;C4258995.52;6772471.19;C5097373.17;СК-95;6780738.95;6560184.89;Hg= 142.26;EGM=  1.46;BL-95;34°07'01.0131";61°07'52.1137";ПЗ-90.02;2556114.89;1731577.36;5562551.74;ПЗ-90.02;2556114.89;1731577.36;5562551.74;WGS-84;2556115.56;1731577.85;5562553.47;BL-WGS;61°07'52.4131";34°06'52.9710";Hw= 155.72;Gwg= 14.91
23799;P3628320 3;;Центр;СК-42;P-36-104-Г-в;6770750.97;6541006.53;Hn= 143.20 ;G98=  1.55;BL-42;61°02'38.3568";33°45'32.1144";G87=  2.08;CK-63/42;C-64- 41-Г-в;6759470.77;C4239675.32;6762711.29;C3401743.62;СК-95;6770752.74;6541006.93;Hg= 144.48;EGM=  1.28;BL-95;33°45'32.1424";61°02'38.4139";ПЗ-90.02;2573953.36;1720295.67;5557859.02;ПЗ-90.02;2573953.36;1720295.67;5557859.02;WGS-84;2573954.04;1720296.16;5557860.74;BL-WGS;61°02'38.6867";33°45'24.1004";Hw= 158.30;Gwg= 15.09
24949;P3628214 2;Kойнося, сигн. 36.9 м;Центр 2оп Марка № 9192;СК-42;P-36-104-Г-б;6778602.50;6547285.72;Hn= 124.1  ;G98=  1.70;BL-42;61°06'49.4525";33°52'37.4286";G87=  2.16;CK-63/42;C-64- 41-Г-б;6767230.17;C4246067.64;6770757.81;C3407775.44;СК-95;6778604.28;6547286.17;Hg= 125.49;EGM=  1.39;BL-95;33°52'37.4602";61°06'49.5098";ПЗ-90.02;2564744.57;1721802.19;5561601.19;ПЗ-90.02;2564744.57;1721802.19;5561601.19;WGS-84;2564745.25;1721802.67;5561602.91;BL-WGS;61°06'49.7937";33°52'29.4075";Hw= 139.20;Gwg= 15.09
24962;P3629314 3;;Центр;СК-42;P-36-106-В-в;6768272.40;6583524.97;Hn= 132.00 ;G98=  1.88;BL-42;61°00'54.1419";34°32'40.1642";G87=  2.10;CK-63/42;C-64- 43-В-в;6756375.83;C4282151.38;6758619.00;C5119923.57;СК-95;6768274.32;6583525.52;Hg= 133.50;EGM=  1.50;BL-95;34°32'40.2038";61°00'54.2035";ПЗ-90.02;2552443.83;1757020.79;5556287.01;ПЗ-90.02;2552443.83;1757020.79;5556287.01;WGS-84;2552444.48;1757021.30;5556288.73;BL-WGS;61°00'54.5224";34°32'32.2189";Hw= 146.50;Gwg= 14.50
25797;P3629221 2;Печеницы, сигн. 39.4 м;Центр 2оп Марка № 12242;СК-42;P-36-117-В-в;6732010.19;6558542.19;Hn= 143.9  ;G98=  2.07;BL-42;60°41'38.9862";34°04'18.0762";G87=  2.73;CK-63/42;C-63- 42-В-в;6720481.27;C4256647.54;6723919.43;C5092798.53;СК-95;6732011.84;6558542.69;Hg= 145.47;EGM=  1.57;BL-95;34°04'18.1109";60°41'39.0393";ПЗ-90.02;2592729.40;1753397.19;5538883.41;ПЗ-90.02;2592729.40;1753397.19;5538883.41;WGS-84;2592730.09;1753397.71;5538885.12;BL-WGS;60°41'39.3120";34°04'10.1775";Hw= 158.91;Gwg= 15.01
25993;P3629329 3;;Центр;СК-42;P-36-118-А-в;6749190.38;6585472.57;Hn= 152.40 ;G98=  2.08;BL-42;60°50'36.3852";34°34'19.3009";G87=  2.43;CK-63/42;C-63- 43-А-в;6737269.00;C4283822.10;6739452.05;C5120718.51;СК-95;6749192.19;6585473.11;Hg= 154.03;EGM=  1.63;BL-95;34°34'19.3395";60°50'36.4433";ПЗ-90.02;2565368.78;1767736.57;5547013.89;ПЗ-90.02;2565368.78;1767736.57;5547013.89;WGS-84;2565369.44;1767737.09;5547015.60;BL-WGS;60°50'36.7544";34°34'11.4001";Hw= 166.97;Gwg= 14.57
26004;P3628223 2;Mунгала, сигн. 29.1 м;Центр 2оп Марка № 653;СК-42;P-36-116-В-б;6746541.52;6537420.11;Hn=  42.0  ;G98=  1.22;BL-42;60°49'37.5556";33°41'16.2606";G87=  2.34;CK-63/42;C-63- 41-А-г;6735316.25;C4235738.49;6738395.25;C3398915.41;СК-95;6746543.29;6537420.50;Hg=  42.84;EGM=  0.84;BL-95;33°41'16.2876";60°49'37.6127";ПЗ-90.02;2593621.74;1728791.51;5546029.40;ПЗ-90.02;2593621.74;1728791.51;5546029.40;WGS-84;2593622.44;1728792.01;5546031.11;BL-WGS;60°49'37.8695";33°41'08.2967";Hw=  56.70;Gwg= 14.70
26408;P3628329 3;;Центр;СК-42;P-36-116-А-б;6759086.16;6534537.33;Hn= 108.00 ;G98=  1.27;BL-42;60°56'23.7560";33°38'13.5722";G87=  2.13;CK-63/42;C-63- 41-А-б;6747901.17;C4233037.76;6750846.75;C3395641.07;СК-95;6759087.91;6534537.73;Hg= 109.01;EGM=  1.01;BL-95;33°38'13.5999";60°56'23.8124";ПЗ-90.02;2586033.78;1720427.03;5552205.08;ПЗ-90.02;2586033.78;1720427.03;5552205.08;WGS-84;2586034.47;1720427.52;5552206.80;BL-WGS;60°56'24.0722";33°38'05.5771";Hw= 122.94;Gwg= 14.94
26883;P3629226 2;Kундзозеро, сигн. 24.9 м;Центр 2оп Марка № 11188;СК-42;P-36-118-В-а;6743272.04;6583596.44;Hn= 183.1  ;G98=  2.17;BL-42;60°47'26.6812";34°32'05.9677";G87=  2.54;CK-63/42;C-63- 43-В-а;6731378.88;C4281860.63;6733656.59;C5118489.46;СК-95;6743273.78;6583596.96;Hg= 184.81;EGM=  1.71;BL-95;34°32'06.0048";60°47'26.7370";ПЗ-90.02;2570746.62;1768992.74;5544177.59;ПЗ-90.02;2570746.62;1768992.74;5544177.59;WGS-84;2570747.28;1768993.27;5544179.30;BL-WGS;60°47'27.0430";34°31'58.0764";Hw= 197.78;Gwg= 14.68
26899;P3629222 2;Луговой, сигн. 35.1 м;Центр 2оп Марка № 11511;СК-42;P-36-117-Г-г;6736492.92;6577460.50;Hn= 200.0  ;G98=  2.25;BL-42;60°43'52.1929";34°25'10.8293";G87=  2.66;CK-63/42;C-63- 42-Г-г;6724689.72;C4275627.68;6727257.76;C5111956.08;СК-95;6736494.59;6577460.96;Hg= 201.78;EGM=  1.78;BL-95;34°25'10.8620";60°43'52.2465";ПЗ-90.02;2579087.83;1767094.45;5540949.50;ПЗ-90.02;2579087.83;1767094.45;5540949.50;WGS-84;2579088.51;1767094.98;5540951.21;BL-WGS;60°43'52.5423";34°25'02.9413";Hw= 214.86;Gwg= 14.86
27246;P3629325 3;;Центр;СК-42;P-36-117-В-г;6730904.49;6565853.45;Hn= 156.10 ;G98=  2.23;BL-42;60°40'59.1776";34°12'18.4519";G87=  2.76;CK-63/42;C-63- 42-Г-в;6719270.03;C4263941.71;6722376.04;C5100031.89;СК-95;6730906.15;6565853.91;Hg= 157.83;EGM=  1.73;BL-95;34°12'18.4842";60°40'59.2309";ПЗ-90.02;2589532.13;1760038.01;5538290.98;ПЗ-90.02;2589532.13;1760038.01;5538290.98;WGS-84;2589532.82;1760038.53;5538292.69;BL-WGS;60°40'59.5111";34°12'10.5620";Hw= 171.13;Gwg= 15.03
27654;P3628317 3;;Центр;СК-42;P-36-104-Г-а;6777265.42;6541364.31;Hn= 106.40 ;G98=  1.62;BL-42;61°06'08.6635";33°46'01.0343";G87=  2.12;CK-63/42;C-64- 41-Г-а;6765979.22;C4240127.59;6769235.46;C3401897.25;СК-95;6777267.18;6541364.76;Hg= 107.73;EGM=  1.33;BL-95;33°46'01.0657";61°06'08.7201";ПЗ-90.02;2568960.84;1717479.86;5560975.60;ПЗ-90.02;2568960.84;1717479.86;5560975.60;WGS-84;2568961.52;1717480.34;5560977.32;BL-WGS;61°06'08.9967";33°45'53.0090";Hw= 121.55;Gwg= 15.15
27669;P3629327 3;;Центр;СК-42;P-36-117-Г-в;6733056.89;6573496.20;Hn= 196.80 ;G98=  2.28;BL-42;60°42'03.9084";34°20'44.7088";G87=  2.72;CK-63/42;C-63- 42-Г-г;6721311.59;C4271614.36;6724065.66;C5107791.73;СК-95;6733058.57;6573496.73;Hg= 198.60;EGM=  1.80;BL-95;34°20'44.7460";60°42'03.9623";ПЗ-90.02;2583778.09;1765414.01;5539307.29;ПЗ-90.02;2583778.09;1765414.01;5539307.29;WGS-84;2583778.76;1765414.53;5539309.00;BL-WGS;60°42'04.2519";34°20'36.8282";Hw= 211.76;Gwg= 14.95
28762;P3629306 3;;Центр;СК-42;P-36-105-Г-б;6781913.98;6576436.68;Hn= 175.10 ;G98=  1.81;BL-42;61°08'19.8908";34°25'08.1634";G87=  2.19;CK-63/42;C-64- 42-Г-б;6770117.91;C4275262.28;6772665.20;C5113670.06;СК-95;6781915.96;6576437.21;Hg= 176.56;EGM=  1.46;BL-95;34°25'08.2017";61°08'19.9544";ПЗ-90.02;2546342.94;1744608.74;5562997.81;ПЗ-90.02;2546342.94;1744608.74;5562997.81;WGS-84;2546343.59;1744609.24;5562999.53;BL-WGS;61°08'20.2725";34°25'00.1769";Hw= 189.71;Gwg= 14.60
28836;P3628226 2;Лемозеро, сигн. 31.8 м;Центр 2оп Марка № 12015;СК-42;P-36-116-Г-в;6732674.81;6546579.64;Hn= 126.0  ;G98=  1.75;BL-42;60°42'06.1165";33°51'10.3985";G87=  2.64;CK-63/42;C-63- 41-Г-г;6721318.75;C4244696.25;6724817.67;C3408506.02;СК-95;6732676.51;6546580.12;Hg= 127.23;EGM=  1.23;BL-95;33°51'10.4316";60°42'06.1712";ПЗ-90.02;2598791.21;1743070.54;5539278.51;ПЗ-90.02;2598791.21;1743070.54;5539278.51;WGS-84;2598791.91;1743071.04;5539280.22;BL-WGS;60°42'06.4311";33°51'02.4828";Hw= 140.90;Gwg= 14.90
29512;P3629313 3;;Центр;СК-42;P-36-106-В-в;6775241.71;6584646.36;Hn= 129.40 ;G98=  1.84;BL-42;61°04'38.3537";34°34'05.8909";G87=  2.14;CK-63/42;C-64- 43-В-а;6763327.63;C4283373.68;6765508.83;C5121463.31;СК-95;6775243.63;6584646.89;Hg= 130.87;EGM=  1.47;BL-95;34°34'05.9293";61°04'38.4153";ПЗ-90.02;2546711.65;1754635.10;5559644.50;ПЗ-90.02;2546711.65;1754635.10;5559644.50;WGS-84;2546712.30;1754635.61;5559646.23;BL-WGS;61°04'38.7390";34°33'57.9299";Hw= 143.86;Gwg= 14.45
29598;P3629204 2;Pыдосельга, сигн. 31.5 м;Центр 50оп;СК-42;P-36-105-А-в;6786583.15;6554438.03;Hn= 147.2  ;G98=  1.78;BL-42;61°11'03.9065";34°00'43.1743";G87=  2.24;CK-63/42;C-64- 42-А-в;6775105.86;C4253334.87;6778655.02;C5091988.76;СК-95;6786584.97;6554438.52;Hg= 148.66;EGM=  1.46;BL-95;34°00'43.2089";61°11'03.9650";ПЗ-90.02;2554973.02;1723984.52;5565422.15;ПЗ-90.02;2554973.02;1723984.52;5565422.15;WGS-84;2554973.68;1723985.00;5565423.88;BL-WGS;61°11'04.2609";34°00'35.1463";Hw= 162.24;Gwg= 15.03
29820;P3629328 3;;Центр;СК-42;P-36-118-А-г;6755902.54;6590678.44;Hn= 145.50 ;G98=  2.00;BL-42;60°54'08.9950";34°40'15.1434";G87=  2.30;CK-63/42;C-63- 43-А-б;6743904.53;C4289124.23;6745839.33;C5126319.53;СК-95;6755904.41;6590679.05;Hg= 147.07;EGM=  1.57;BL-95;34°40'15.1870";60°54'09.0549";ПЗ-90.02;2557584.26;1768887.46;5550211.09;ПЗ-90.02;2557584.26;1768887.46;5550211.09;WGS-84;2557584.92;1768887.98;5550212.81;BL-WGS;60°54'09.3752";34°40'07.2390";Hw= 159.92;Gwg= 14.41
