Distant;Comment1;Name_Type;Center_Marka;Proj1;Nomenklatura1;SK42_X;SK42_Y;Hn;G98;Proj2;SK42_B;SK42_L;G87;Proj3;SK63_X;SK63_Y;SK63_X2;SK63_Y2;Proj4;SK95_X;SK95_Y;Hg;EGM;Proj5;SK95_L;SK95_B;Proj6;PZ90_X;PZ90_Y;PZ90_Z;Proj7;PZ9002_X;PZ9002_Y;PZ9002_Z;Proj8;WGS84_X;WGS84_Y;WGS84_Z;Proj9;WGS84_B;WGS84_L;Hw;Gwg
20569;N3609315 3;Брехачи, сигн. 18.6 м;Центр 1;СК-42;N-36-030-Б-г;6123841.20;6492863.13;234.24 ;3.03;BL-42;55°14'16.8743";32°53'16.1265";3.62;CK-63/42;P-45- 74-Б-г;6111009.51;P1275731.22;6114007.84;P2084903.63;СК-95;6123840.01;6492865.73;237.27;None;BL-95;32°53'16.2737";55°14'16.8360";ПЗ-90;3060904.51;1979119.92;5216741.08;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
21263;N3609335 3;Kушково, сигн. 30.9 м;Центр 42оп;СК-42;N-36-042-А-г;6083907.25;6483517.77;191.61 ;2.57;BL-42;54°52'44.7263";32°44'35.5816";3.48;CK-63/42;P-44- 74-Б-в;6071007.42;P1266681.27;6074417.11;P2074141.46;СК-95;6083905.86;6483520.05;194.18;None;BL-95;32°44'35.7098";54°52'44.6816";ПЗ-90;3093420.86;1989092.60;5193819.15;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
21282;N3609312 3;Почепово, сигн. 25.0 м;Центр 1;СК-42;N-36-030-А-б;6126429.67;6483598.89;221.33 ;2.91;BL-42;55°15'39.7804";32°44'31.3280";3.55;CK-63/42;P-45- 74-Б-в;6113529.28;P1266448.02;6116925.62;P2075734.23;СК-95;6126428.30;6483601.47;224.24;None;BL-95;32°44'31.4744";55°15'39.7364";ПЗ-90;3064152.34;1970182.39;5218191.74;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
21934;N3609207 2;Cельцо, сигн. 31.7 м;Центр 1;СК-42;N-36-030-А-б;6125905.56;6477143.86;229.90 ;2.80;BL-42;55°15'21.9087";32°38'25.9879";3.50;CK-63/42;P-45- 74-А-г;6112957.35;P1259997.07;6116631.65;P2069262.16;СК-95;6125904.23;6477146.55;232.70;None;BL-95;32°38'26.1406";55°15'21.8662";ПЗ-90;3068023.80;1964999.70;5217883.74;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
21967;N3609227 2;Пнево, сигн. 9.9 м;Центр 1оп;СК-42;N-36-042-А-г;6084231.57;6477577.24;221.17 ;2.51;BL-42;54°52'54.3829";32°39'02.3177";3.45;CK-63/42;P-44- 74-А-г;6071287.91;P1260738.52;6074952.06;P2068213.87;СК-95;6084230.19;6477579.49;223.68;None;BL-95;32°39'02.4443";54°52'54.3386";ПЗ-90;3096439.46;1983969.32;5194015.09;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
22885;N3609313 3;Буянцево, сигн. 9.6 м;Центр 1;СК-42;N-36-030-А-в;6122384.26;6469193.97;235.75 ;2.63;BL-42;55°13'26.4912";32°30'57.3002";3.44;CK-63/42;P-45- 74-А-в;6109377.28;P1252073.55;6113394.37;P2061188.60;СК-95;6122382.96;6469196.57;238.38;None;BL-95;32°30'57.4478";55°13'26.4497";ПЗ-90;3074766.80;1959899.18;5215853.37;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
23662;N3609209 2;Mалиновка, сигн. 36.2 м;Центр 1;СК-42;N-36-030-Б-г;6124375.97;6498065.29;234.60 ;3.13;BL-42;55°14'34.3388";32°58'10.5020";3.66;CK-63/42;P-45- 74-Б-г;6111582.81;P1280929.32;6114357.14;P2090123.22;СК-95;6124374.76;6498067.84;237.73;None;BL-95;32°58'10.6463";55°14'34.2997";ПЗ-90;3057704.66;1983244.94;5217049.37;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
23967;N3609310 3;Mедведево, сигн. 29.4 м;Центр 1;СК-42;N-36-029-Г-г;6099727.72;6460914.82;242.71 ;2.47;BL-42;55°01'11.7815";32°23'20.1882";3.37;CK-63/42;P-45- 73-Г-г;6086660.46;P1243962.35;6090518.40;P 435825.44;СК-95;6099726.31;6460917.39;245.18;None;BL-95;32°23'20.3335";55°01'11.7366";ПЗ-90;3094846.42;1963067.13;5202866.15;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
24792;N3609208 2;Mотево, сигн. 32.6 м;Центр 1;СК-42;N-36-030-Б-а;6129791.93;6487062.08;223.46 ;3.03;BL-42;55°17'28.8728";32°47'46.8648";3.58;CK-63/42;P-45- 74-Б-а;6116917.12;P1269886.20;6120163.54;P2079316.30;СК-95;6129790.64;6487064.74;226.49;None;BL-95;32°47'47.0157";55°17'28.8314";ПЗ-90;3059953.15;1971585.00;5220115.43;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
24795;N3609217 2;Tресвятье, сигн. 12.7 м;Центр 32оп Марка № 2193;СК-42;N-36-041-Б-б;6088703.21;6465710.69;237.30 ;2.48;BL-42;54°55'16.5609";32°27'54.8398";3.38;CK-63/42;P-44- 73-Б-г;6075671.84;P1248839.42;6079744.30;P 441171.48;СК-95;6088701.80;6465713.02;239.78;None;BL-95;32°27'54.9713";54°55'16.5159";ПЗ-90;3099816.53;1972012.96;5196556.31;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
24876;N3609342 3;Ярошенки, сигн. 24.5 м;Центр 2оп Марка № 3677;СК-42;N-36-042-Б-в;6080556.86;6487955.86;202.00 ;2.63;BL-42;54°50'56.8360";32°48'44.9964";3.50;CK-63/42;P-44- 74-Г-а;6067689.84;P1271143.95;6070910.22;P2078459.59;СК-95;6080555.49;6487958.15;204.63;None;BL-95;32°48'45.1249";54°50'56.7919";ПЗ-90;3093311.41;1994313.46;5191907.55;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
24956;N3610325 3;Kняжино, сигн. 17.0 м;Центр 2оп Марка № 8035;СК-42;N-36-031-В-а;6114909.44;6507231.67;242.10 ;3.17;BL-42;55°09'28.0474";33°06'48.4164";3.70;CK-63/42;P-45- 75-В-б;6102184.27;P1290165.69;6104567.48;P2098949.49;СК-95;6114908.39;6507234.20;245.27;None;BL-95;33°06'48.5592";55°09'28.0133";ПЗ-90;3059233.41;1995167.77;5211649.70;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
24974;N3609303 3;Бабино, сигн. 28.4 м;Центр 1;СК-42;N-36-029-Б-г;6116496.52;6462007.37;240.89 ;2.48;BL-42;55°10'14.3113";32°24'13.6218";3.38;CK-63/42;P-45- 73-Г-б;6103436.58;P1244930.84;6107327.75;P 436072.79;СК-95;6116495.05;6462010.01;243.37;None;BL-95;32°24'13.7716";55°10'14.2645";ПЗ-90;3082719.68;1956494.75;5212465.20;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
25009;N3610307 3;Hаквасино, пир. 6.3 (сигн. 8.5) м;Центр 1оп;СК-42;N-36-043-А-а;6096674.59;6507786.40;239.70 ;2.98;BL-42;54°59'38.3541";33°07'17.9525";3.64;CK-63/42;P-44- 75-А-б;6083953.67;P1290855.24;6086319.34;P2098855.85;СК-95;6096673.24;6507788.60;242.68;None;BL-95;33°07'18.0761";54°59'38.3103";ПЗ-90;3071469.50;2003775.05;5201207.21;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
25242;N3609336 3;Kунцово, пир.-штатив 5.5 м;Центр 2оп Марка № 5470;СК-42;N-36-042-А-в;6082817.27;6472508.58;223.30 ;2.47;BL-42;54°52'07.7382";32°34'18.5118";3.41;CK-63/42;P-44- 74-А-в;6069836.28;P1255680.46;6073717.85;P2063096.16;СК-95;6082815.89;6472510.86;225.77;None;BL-95;32°34'18.6401";54°52'07.6940";ПЗ-90;3100161.73;1980342.81;5193186.87;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
25498;N3609308 3;Xолм, сигн. 10.0 м;Центр 1;СК-42;N-36-029-Г-а;6111188.59;6459483.97;267.74 ;2.45;BL-42;55°07'21.9601";32°21'53.8002";3.36;CK-63/42;P-45- 73-Г-б;6098110.22;P1242446.84;6101897.31;P 433818.98;СК-95;6111187.14;6459486.62;270.19;None;BL-95;32°21'53.9505";55°07'21.9140";ПЗ-90;3087752.74;1956754.25;5209441.20;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
25753;N3610326 3;Плещеево, сигн. 15.3 м;Центр 42оп;СК-42;N-36-031-В-б;6110204.41;6509514.04;254.77 ;3.16;BL-42;55°06'55.7630";33°08'56.7480";3.70;CK-63/42;P-45- 75-В-б;6097496.16;P1292482.86;6099782.94;P2101063.68;СК-95;6110203.37;6509516.55;257.93;None;BL-95;33°08'56.8895";55°06'55.7292";ПЗ-90;3061232.79;1999187.70;5208968.05;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
26195;N3609228 2;Tестово, сигн. 14.4 м;Центр 1оп;СК-42;N-36-042-Б-г;6082927.98;6498117.36;247.60 ;2.75;BL-42;54°52'14.0225";32°58'14.4331";3.57;CK-63/42;P-44- 74-Б-г;6070135.85;P1281287.77;6072920.37;P2088702.21;СК-95;6082926.63;6498119.70;250.35;None;BL-95;32°58'14.5644";54°52'13.9789";ПЗ-90;3086178.05;2001797.61;5193318.81;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
27489;N3609344 3;Дуброво, сигн. 8.8 м;Центр 1оп;СК-42;N-36-042-В-б;6078590.09;6477198.71;204.97 ;2.49;BL-42;54°49'51.8884";32°38'42.6889";3.43;CK-63/42;P-44- 74-В-б;6065643.82;P1260401.60;6069325.29;P2067635.38;СК-95;6078588.74;6477200.99;207.46;None;BL-95;32°38'42.8170";54°49'51.8451";ПЗ-90;3100506.09;1986158.97;5190753.31;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
27630;N3609205 2;Болдино, сигн. 23.5 м;Центр 1;СК-42;N-36-029-Г-в;6104274.90;6456642.92;267.90 ;2.44;BL-42;55°03'37.5422";32°19'17.2889";3.35;CK-63/42;P-45- 73-Г-в;6091175.85;P1239657.05;6094846.68;P 431328.49;СК-95;6104273.44;6456645.58;270.34;None;BL-95;32°19'17.4396";55°03'37.4958";ПЗ-90;3094046.42;1957453.87;5205469.65;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
27758;Формат??;Формат??;Центр 153;СК-42;N-36-041-Б-г;6085856.50;6464309.90;189.20 ;2.47;Формат??;Формат??;Формат??;Формат??;CK-63/42;P-44- 73-Б-г;6072814.91;P1247459.69;6076829.59;P 439914.86;СК-95*;6085855.11;6464312.19;191.67;None;BL-95;32°26'37.5958";54°53'44.1106";ПЗ-90;3102506.00;1972089.52;5194874.17;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
28134;Формат??;Формат??;Центр 153;СК-42;N-36-041-Б-г;6084761.20;6464880.90;183.50 ;2.46;Формат??;Формат??;Формат??;Формат??;CK-63/42;P-44- 73-Б-г;6071723.87;P1248038.75;6075763.88;P 440540.39;СК-95*;6084759.81;6464883.19;185.96;None;BL-95;32°27'10.1125";54°53'08.8376";ПЗ-90;3102945.25;1973055.65;5194242.15;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
28380;N3609343 3;Cамойлово, сигн. 25.9 м;Центр 1оп;СК-42;N-36-042-Б-г;6078893.19;6495011.57;229.02 ;2.71;BL-42;54°50'03.4672";32°55'20.5303";3.55;CK-63/42;P-44- 74-Г-б;6066078.22;P1278211.78;6068996.91;P2085454.33;СК-95;6078891.82;6495013.89;231.73;None;BL-95;32°55'20.6603";54°50'03.4230";ПЗ-90;3090626.87;2000983.33;5190979.36;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
28437;Формат??;Формат??;Центр 153;СК-42;N-36-041-Б-г;6084284.50;6464946.60;182.50 ;2.46;Формат??;Формат??;Формат??;Формат??;CK-63/42;P-44- 73-Б-г;6071247.68;P1248107.96;6075290.88;P 440629.97;СК-95*;6084283.12;6464948.89;184.96;None;BL-95;32°27'14.0062";54°52'53.4396";ПЗ-90;3103236.18;1973322.93;5193967.42;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
28456;N3609324 3;Cлотово, пир.-штатив 6.1 м;Центр 1оп;СК-42;N-36-041-Б-г;6082153.78;6467509.35;227.14 ;2.44;BL-42;54°51'45.2050";32°29'38.4769";3.38;CK-63/42;P-44- 74-А-в;6069135.95;P1250686.32;6073231.79;P2058074.40;СК-95;6082152.41;6467511.64;229.58;None;BL-95;32°29'38.6058";54°51'45.1612";ПЗ-90;3103330.14;1976439.42;5192788.98;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
28484;N3610221 2;Mужилово, пир. 6.4 (сигн. 29.8) м;Центр 1;СК-42;N-36-031-А-в;6124332.10;6505324.60;234.30 ;3.28;BL-42;55°14'32.8305";33°05'01.3512";3.71;CK-63/42;P-45- 75-А-в;6111592.72;P1288188.86;6114054.71;P2097378.53;СК-95;6124330.94;6505327.15;237.58;None;BL-95;33°05'01.4954";55°14'32.7929";ПЗ-90;3053780.01;1989352.30;5217022.68;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
28749;N3610201 2;Дроздово, сигн. 15.0 (23.6) м;Центр 1;СК-42;N-36-031-А-г;6119926.02;6508926.80;234.90 ;3.28;BL-42;55°12'10.1669";33°08'24.7196";3.72;CK-63/42;P-45- 75-А-г;6107213.36;P1291823.67;6109521.93;P2100822.56;СК-95;6119924.85;6508929.39;238.18;None;BL-95;33°08'24.8659";55°12'10.1289";ПЗ-90;3054851.69;1994343.59;5214506.60;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
28772;N3609202 2;Голочево, сигн. 24.1 м;Центр 1;СК-42;N-36-029-Б-б;6125937.17;6464358.00;237.23 ;2.60;BL-42;55°15'20.2034";32°26'22.1273";3.40;CK-63/42;P-45- 73-Б-г;6112894.22;P1247211.45;6116878.81;P 437945.40;СК-95;6125935.80;6464360.71;239.83;None;BL-95;32°26'22.2813";55°15'20.1598";ПЗ-90;3074941.29;1954246.33;5217859.53;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
29106;N3610400 4;Tелецентр, сигн. 17.0 м;Центр 2оп;СК-42;N-36-031-В-г;6105719.89;6513360.60;250.71 ;3.17;BL-42;55°04'30.4283";33°12'32.9982";3.71;CK-63/42;P-45- 75-В-г;6093040.11;P1296362.57;6095163.32;P2104749.38;СК-95;6105718.77;6513362.88;253.88;None;BL-95;33°12'33.1265";55°04'30.3919";ПЗ-90;3062217.23;2004413.38;5206392.85;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
29259;N3609311 3;Гремилово, сигн. 19.7 м;Центр 1;СК-42;N-36-030-А-а;6131178.13;6470878.76;239.14 ;2.79;BL-42;55°18'11.2103";32°32'29.3339";3.45;CK-63/42;P-45- 74-А-а;6118183.30;P1253693.11;6122126.32;P2063186.42;СК-95;6131176.83;6470881.54;241.93;None;BL-95;32°32'29.4920";55°18'11.1689";ПЗ-90;3067793.57;1957379.82;5220873.56;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
29866;N3610324 3;Шахта n7, геознак на зд.;Центр 97 Марка № 1881;СК-42;N-36-031-А-г;6116083.97;6512055.65;269.70 ;3.27;BL-42;55°10'05.6897";33°11'21.0344";3.73;CK-63/42;P-45- 75-В-б;6103394.50;P1294980.95;6105569.93;P2103813.51;СК-95;6116082.87;6512058.14;272.97;None;BL-95;33°11'21.1749";55°10'05.6539";ПЗ-90;3055807.26;1998694.96;5212337.40;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
29870;N3609345 3;Pыжково, пир.-штатив 6.4 м;Центр 2оп Марка № 2484;СК-42;N-36-042-В-а;6077776.03;6472321.70;199.70 ;2.44;BL-42;54°49'24.6799";32°34'09.7705";3.40;CK-63/42;P-44- 74-В-а;6064793.84;P1255530.76;6068684.28;P2062730.57;СК-95;6077774.67;6472323.99;202.14;None;BL-95;32°34'09.8992";54°49'24.6363";ПЗ-90;3103708.56;1982423.45;5190264.27;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
29917;N3609206 2;Aдуевщина, сигн. 37.3 м;Центр 1;СК-42;N-36-030-А-а;6133738.11;6475414.75;244.23 ;2.91;BL-42;55°19'34.8777";32°36'45.6316";3.49;CK-63/42;P-45- 74-А-б;6120776.82;P1258209.95;6124523.97;P2067812.67;СК-95;6133736.79;6475417.48;247.14;None;BL-95;32°36'45.7869";55°19'34.8355";ПЗ-90;3063569.16;1960045.03;5222350.32;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
